,Name,Academic (1),Affiliations
21032,janelle jones,0,center for economic and policy research (cepr)
21033,manuel jaén-garcía,1,department of applied economics faculty of economic and business sciences university of almería
21034,leif jensen,0,national research center for welfare (sfi)
21035,jason cannon jones,1,department of economics furman university
21036,rana muhammad sohail jafar,1,economic school fujian agriculture and forestry university
21037,mark j. jensen,0,economic research department federal reserve bank of atlanta
21038,john bailey jones,1,department of economics state university of new york-albany (suny)
21039,saqib jafarey,1,department of economics city university
21040,martin kaae jensen,1,department of economics leicester university
21041,john colin henry jones,1,department of economics university of victoria
21042,habib jafari,0, 
21043,michael c. jensen,0,(34%) negotiations
21044,karen jones,1,bangor business school bangor university
21045,mohammad jafari jozani,0, 
21046,morten berg jensen,0,institut for økonomi aarhus universitet
21047,keithly g. jones,0,economic research service department of agriculture government of the united states
21048,ahmad jafari samimi,1,department of economic sciences university of mazandaran
21049,nathan m. jensen,1,center in political economy washington university in st. louis
21050,kelly m. jones,0,international food policy research institute (ifpri)
21051,said jafarli,1,center of economics faculty of economics and handling of nationality university of malaysia
21052,nathaniel duane jensen,1,charles h. dyson school of applied economics and management cornell university
21053,kevin dwayne jones,1,international school of management
21054,nigar jafarova,0,central bank of the republic of azerbaijan
21055,paul e. jensen,1,school of economics lebow college of business drexel university
21056,larry e. jones,1,"department of economics 
university of minnesota"
21057,adam jaffe,0,(99%) motu: economic & public policy research
21058,paul h. jensen,1,(50%) melbourne institute of applied economic and social research (miaesr) faculty of business and economics university of melbourne
21059,lauren eden jones,1,martin prosperity institute rotman school of management university of toronto
21060,sonia jaffe,1,becker friedman institute for research in economics university of chicago
21061,peter jensen,0,(90%) nationalökonomisk institut institut for økonomi aarhus universitet
21062,luke robert jones,1,department of economics and finance valdosta state university
21063,bruce l. jaffee,0, 
21064,peter sandholt jensen,1,(50%) institute of business management and economics southern denmark university
21065,maggie jones,1,economics department queen's university
21066,jean-yves jaffray,0, 
21067,richard a. jensen,1,department of economics university of notre dame
21068,marion jones,1,department of economics university of regina
21069,shabbar jaffry,1,economics and finance group portsmouth business school university of portsmouth
21070,sissel jensen,1,institute of economics norway's business school (nhh)
21071,martin keith jones,1,department of economics studies university of dundee
21072,juvaria jafri,1,city political economy research centre (cityperc) department of international politics city university
21073,thomas jensen,0,økonomisk institut københavns universitet
21074,michael jones,1,department of economics bridgewater state university
21075,rachel catharina cornelia jafta,1,department of economics fakulteit ekonomies en bestuurswetenskappe university of stellenbosch
21076,thomas christian jensen,0,institute for planning
21077,michael david jones,1,department of economics college of business university of cincinnati
21078,jamila jaganjac,0,fakultet posolve ekonomije univerzitet vitez
21079,vibeke myrup jensen,0,national research center for welfare (sfi)
21080,michael john jones,0, 
21081,ravi jagannathan,1,department of finance kellogg graduate school of management northwestern university
21082,dirk jenter,1,(98%) finance department london school of economics (lse)
21083,natalie a. jones,0,resource management in asia pacific (rmap) program
21084,jannik jäger,0,federal ministry of finance government of germany
21085,dr. nicola jentzsch,0,diw berlin (german institute for economic research)
21086,nikoleta jones,1,university of the aegean department of the environment
21087,kai jäger,1,mannheim center for european social research university mannheim
21088,anne jeny,1,essec business school
21089,peter w. jones,0,economic development institute
21090,simon jäger,1,(47%) economics department massachusetts institute of technology (mit)
21091,bang nam jeon,1,school of economics lebow college of business drexel university
21092,"randall j. jones, jr.",1,university of central oklahoma--department of political science (university of central oklahoma--department of political science)
21093,sanjiv jaggia,1,orfalea college of business california polytechnic state university
21094,doh-shin jeon,1,"groupe de recherche en économie mathématique et quantitative (gremaq) (research group in mathematical and quantitative economics) 
toulouse school of economics (tse)"
21095,richard john jones,0,welsh government
21096,julapa a. jagtiani,0,federal reserve bank of philadelphia
21097,sung-hee jeon,0,statistics canada government of canada
21098,robert jones,1,business school swinburne university of technology
21099,sumbul jahan,0,institute of business administration
21100,byeongju jeong,0,center for economic research and graduate education and economics institute (cerge-ei)
21101,robert alan jones,1,department of economics simon fraser university
21102,esfandiar jahangard,1,faculty of economics allameh tabataba'i university
21103,hyeok jeong,1,school of public policy and management korea development institute (kdi)
21104,roger n. jones,1,victoria institute for strategic economic studies (vises) victoria university
21105,mohammad reza jahan-parvar,0,federal reserve board (board of governors of the federal reserve system)
21106,jinook jeong,1,school of economics college of business and economics yonsei university
21107,sam jones,0,(75%) development economics research group - derg økonomisk institut københavns universitet
21108,agha jahanzeb,0,faculty of management universiti teknologi malaysia (utm)
21109,sangjun jeong,1,division of economics seoul national university
21110,stacey marie jones,1,albers school of business and economics seattle university
21111,elke jutta jahn,0,(80%) institute for labor market and professional research (iab)
21112,christopher jepsen,1,(99%) school of economics university college dublin
21113,stephen clark jones,1,business and economics department arkansas tech university
21114,vera jahn,0,group academy of economics helmut schmidt universität hamburg
21115,lisa k. jepsen,1,department of economics college of business administration university of northern iowa
21116,stephen rg jones,1,department of economics mcmaster university
21117,bjoern jahnke,1,science faculty leibniz university hannover
21118,alberto r. jerardo,0,economic research service department of agriculture government of the united states
21119,yakama manty jones,1,department of management birkbeck college
21120,katharina jaik,1,swiss leading house for education economics institute for business economics economic science faculty university of zurich
21121,vahagn jerbashian,1,(99%) department of economics faculty of economics and business university of barcelona
21122,simcha jong,1,department of management science and innovation university college london (ucl)
21123,zaky jailani,0,international center for education in islamic finance (inceif)
21124,belén jerez,1,department of economy university carlos iii of madrid
21125,richard jong-a-pin,1,faculty of economics and business administration university of groningen
21126,antonio m. jaime-castillo,1,faculty of economic and business sciences university of malaga
21127,miguel jerez,1,department of fundamentals of economic analysis ii (quantitative economics) faculty of economic and business sciences university complutense of madrid
21128,nicole jonker,0,de nederlandsche bank
21129,richard jaimes,0, 
21130,michael jerison,1,department of economics state university of new york-albany (suny)
21131,wouter jonkhoff,0, 
21132,dany jaimovich,0,department empirical economic research and international economic policy faculty of economics goethe universität frankfurt am main
21133,urban joseph jermann,1,(50%) finance department wharton school of business university of pennsylvania
21134,kristian jönsson,0, 
21135,esteban jaimovich,1,school of economics university of surrey
21136,bruno jérôme,1,center of research in economics and law (cred) department of economics and management university panthéon-assas (paris ii)
21137,lars jonung,0,(90%) nationalekonomiska institutionen ekonomihögskolan lunds universitet
21138,nir jaimovich,1,(90%) department of finance and business economics marshall school of business university of southern california
21139,morten jerven,1,school for international studies simon fraser university
21140,donghun joo,1,college of economics and business administration hanyang university
21141,anmol jain,0, 
21142,michal jerzmanowski,1,john e. walker department of economics clemson university
21143,man-soo joo,1,college of economics and business administration hanyang university
21144,anshul jain,0,management development institute
21145,christoph jeßberger,0,bauhaus luftfahrt e.v.
21146,philip joos,0,center for economic research universiteit van tilburg
21147,neelam jain,1,department of economics city university
21148,robin jessen,1,faculty of economics free university berlin
21149,elisabeth joossens,0,directorate-general taxation and custom union european commission
21150,nimit jain,0,indian institute of management
21151,david st john jesson,1,"centre for performance evaluation and resource management (cperm) 
department of economics and related studies 
university of york"
21152,charl jooste,1,department of economics faculty of economic and management sciences university of pretoria
21153,nishant jain,0,(99%) german company for international cooperation (giz)
21154,bob jessop,1,lancaster university - institute for advanced studies
21155,guillermo jopen sánchez,1,(94%) department of economy pontificia catholic university of peru
21156,pankaj k. jain,0,(50%) department of finance
21157,maria antónia jorge jesus,1,business development research unit (unide) business school iscte - university institute of lisbon (iscte-iul)
21158,octavian-dragomir jora,0,the academy of economic studies in bucharest
21159,pawan jain,1,college of business university of wyoming
21160,anja jetschke,0,german institute of global and area studies (giga)
21161,oscar jorda,0,(50%) economic research federal reserve bank of san francisco
21162,rahi jain,0,indian institute of technology bombay (indian institute of technology bombay)
21163,michael jetter,1,(90%) department of economics business school university of western australia
21164,andre cillie jordaan,1,department of economics faculty of economic and management sciences university of pretoria
21165,rajeev jain,0, 
21166,shin dong jeung,0,financial supervisory service government of south korea
21167,jacob a. jordaan,1,school of economics universiteit utrecht
21168,sanjay jain,1,faculty of economics university of cambridge
21169,manfred a. jeusfeld,0, 
21170,henrik jordahl,0,(98%) institute for business research (ifn)
21171,satish kumar jain,1,centre for economic studies and planning jawaharlal nehru university
21172,kevin jewell,0, 
21173,amy jordan,0,economic research department federal reserve bank of dallas
21174,tarun jain,1,indian school of business
21175,ian jewitt,0,economics group
21176,bradford d. jordan,1,carol martin gatton college of business and economics university of kentucky
21177,varinder jain,0,centers for development studies (cds)
21178,sabrina jeworrek,0,(50%) leibniz institute for economic research hall (iwh)
21179,brett w. jordan,1,division of economics and business colorado school of mines
21180,anand kumar jaiswal,0,indian institute of management
21181,nagaratnam jeyasreedharan,1,school of economics and finance tasmanian school of business and economics university of tasmania
21182,declan jordan,1,department of economics faculty of commerce national university of ireland
21183,zoltán m. jakab,0,(99%) research department international monetary fund (imf)
21184,przemyslaw jeziorski,1,walter a. haas school of business university of california-berkeley
21185,jeffrey l. jordan,1,department of agricultural and applied economics university of georgia
21186,audrone jakaitiene,0,matematikos ir informatikos institutas (institute of mathematics and informatics)
21187,abhas k. jha,0,international bank for reconstruction & development (ibrd) world bank group
21188,nestor rodrigo jordan ramos,1,faculty of economics national university of san antonio abad del cusco
21189,"vicente jakas, sr.",0,deutsche bank ag
21190,chandan kumar jha,1,madden school of business lemoyne college
21191,anne sofie jore,0, 
21192,keith jakee,1,florida atlantic university (honors college)
21193,debajit jha,1,"institute of economic growth 
university of delhi"
21194,marcos valli jorge,0,central bank of brasil
21195,pamela jakiela,1,department of agricultural and resource economics university of maryland
21196,nikhil jha,1,melbourne institute of applied economic and social research (miaesr) faculty of business and economics university of melbourne
21197,sílvia ferreira jorge,0,(50%) economics department
21198,andreja jaklič,0, 
21199,pradeep k. jha,0,indian institute of technology kharagpur
21200,susana margarida jorge,1,college of economics university of coimbra
21201,keith jakob,1,school of business administration university of montana
21202,raghbendra jha,1,arndt-corden department of economics crawford school of public policy australian national university
21203,bjorn nybo jorgensen,1,london school of economics (lse)
21204,michael jakob,0,(98%) mercator research institute on global commons and climate change (mcc)
21205,saumitra jha,1,graduate school of business stanford university
21206,jan guldager jørgensen,1,institute of business and economics southern denmark university
21207,anja p. jakobi,0,hessian foundation peace and conflict research (peace research institute frankfurt)
21208,shreyasi jha,0,human development report office united nations development programme (undp) united nations
21209,jason b. jorgensen,1,"department of economics 
george washington university"
21210,witold jakóbik,0,faculty of business and international relations academy of finance and business vistula
21211,dwueng-chwuan jhwueng,1,college of business feng chia university
21212,kjell jørgensen,1,department of financial economics at business school
21213,kristofer jakobsson,0, 
21214,philip inyeob ji,1,monash business school monash university
21215,natalia jorgensen,1,university isalud
21216,maria jakobsson,0,national economical institute stockholms universitet
21217,qiang ji,0,center for energy and environmental policy research institute of policy and management chinese academy of sciences
21218,peter løchte jørgensen,0,institut for økonomi aarhus universitet
21219,niklas jakobsson,0,(50%) norwegian institute for research on growth
21220,yangyang ji,1,department of economics state university of new york-binghamton (suny)
21221,thomas høgholm jørgensen,0,(50%) centre for applied microeconometrics (cam) økonomisk institut københavns universitet
21222,mihajlo (michael) b. jakovljevic,1,"faculty of medical sciences, university of kragujevac (the faculty of medical sciences, university of kragujevac)"
21223,yongjie ji,1,center for agricultural and rural development (card) iowa state university
21224,dale jorgenson,1,kennedy school of government harvard university
21225,michał kosma jakubczyk,0,zakład wspomagania i analizy decyzji szkoła glow systems w warszawie
21226,yuemei ji,0,public economics workgroup centrum voor economische studien faculteit economie en bedrijfswetenschappen ku leuven
21227,philippe jorion,1,paul merage school of business university of california-irvine
21228,marcin jakubek,0,instytut sunlight sunlight ekonomicznych speed criteria.
21229,bijie jia,1,department of economics auburn university
21230,kurt jörnsten,1,institute of business economics norway's business school (nhh)
21231,petr jakubík,1,institute of economic studies charles university in prague
21232,hao jia,1,department of economics business school deakin university
21233,markus jorra,0,german bundesbank
21234,maciej jakubowski,1,"faculty of economics, warsaw university"
21235,peng jia,0,institute for population and labor economics chinese academy of social sciences
21236,"juan mario jorrat, sr.",1,faculty of economics national university of tucumán
21237,paul m. jakus,1,department of applied economics utah state university
21238,ruixue jia,0,institute for international economic studies (iies) stockholms universitet
21239,andreas joseph,0,bank of england
21240,seyed hossein jalali,1,faculty of management university of tehran
21241,ruo jia,1,institute for insurance school of finance university st. bile
21242,george joseph,0,international bank for reconstruction & development (ibrd) world bank group
21243,ahmad jalali-naini,0, 
21244,xiangping jia,0,center for chinese agricultural policy (ccap) chinese academy of sciences
21245,gilles joseph,0,center for studies and research in economics
21246,jyotsna jalan,0,centre for studies in social sciences
21247,ye (george) jia,1,department of economics university of prince edward island
21248,joy v joseph,1,school of business university of connecticut
21249,jukka jalava,0,eurostat: european statistical office european commission
21250,yueqing jia,1,(50%) research program on forecasting department of economics george washington university
21251,k j joseph,0,centers for development studies (cds)
21252,terrance jalbert,1,college of business and economics university of hawaii-hilo
21253,yuping jia,0,"center for economic research 
universiteit van tilburg (tilburg university)"
21254,reji k. joseph,0,research and information system for developing countries (ris)
21255,hugo jales,1,(50%) center for policy research maxwell school syracuse university
21256,zhiyang jia,0,(50%) statistisk sentralbyrå government of norway
21257,rémy-robert joseph,0,center for studies and research in economics
21258,moti jaleta,0,international center for maize and wheat improvement (cimmyt)
21259,nancy ammon jianakoplos,1,department of economics colorado state university
21260,tinu joseph,1,department of economics st. francis from sales' college
21261,abdul jalil,1,department of economics quaid-i-azam university
21262,bing jiang,0,department of economics and business virginia military institute
21263,anna josephson,1,department of agricultural economics purdue university
21264,hafiz hanzla jalil,0,pakistan institute of development economics
21265,chunxia jiang,1,department of economics business school middlesex university
21266,jens josephson,1,(70%) business economics department stockholm university
21267,m anwar jalil,0,marketing and management department khadim ali shah bukhari institute of technology (kasbit)
21268,danling jiang,1,college of business florida state university
21269,dushko josheski,1,goce delcev university
21270,munir jalil,1,faculty of economics university of colombia
21271,dou jiang,1,tianjin university of finance & economics
21272,janak joshi,1,department of economics university of new mexico
21273,shokhrukh-mirzo jalilov,1,agricultural economics and agricultural business new mexico state university
21274,fei jiang,0, 
21275,kirti kusum joshi,1,東北大学情報科学研究科 (tohoku university graduate school of information sciences)
21276,joao tovar jalles,1,(49%) center globalization and governance (cgg) school of business and economics new university of lisbon
21277,fuwei jiang,1,(90%) central university of finance and economics (cufe)
21278,mark joshi,1,department of economics faculty of business and economics university of melbourne
21279,haroon jamal,0,social policy and development center (spdc)
21280,guohua jiang,1,guanghua school of management peking university
21281,nayan joshi,0, 
21282,zaini jamaludin,0, 
21283,janet hua jiang,0,bank of canada
21284,niraj prakash joshi,1,graduate school for international development and cooperation hiroshima university
21285,tooraj jamasb,1,business school durham university
21286,jing jiang,0, 
21287,omkar joshi,0,(50%) national council of applied economic research (ncaer)
21288,attila jambor,1,"department of agricultural economics and rural development, faculty of economics, corvinus university of budapest"
21289,jingze jiang,1,department of business administration and economics edinboro university of pennsylvania
21290,pramod kumar joshi,0,international food policy research institute (ifpri)
21291,lamia jamel,1,faculty of economics and management of sousse university of sousse
21292,john xuefeng jiang,1,eli broad graduate school of management michigan state university
21293,satish joshi,0,department of agricultural
21294,alexander g. james,1,department of economics college of business and public policy university of alaska
21295,jun jiang,1,mahidol university international college
21296,sumit joshi,1,department of economics george washington university
21297,gregory a. james,1,school of business and economics loughborough university
21298,lei jiang,1,school of economics and management tsinghua university
21299,kosta josifidis,1,"faculty of economics on saturday, the university in a new sad"
21300,harvey james,1,department of agricultural and applied economics university of missouri
21301,lunan jiang,1,school of economics henan university
21302,paul joskow,1,economics department massachusetts institute of technology (mit)
21303,john allan james,0, 
21304,mingming jiang,1,school of economics shandong university
21305,bruno jossa,0,"department of economic theory and applied universities of naples studies - ""federico ii"""
21306,simon james,1,business school university of exeter
21307,nan jiang,1,faculty of business auckland university of technology
21308,jean-michel josselin,0,economics and management research center (crem) (economics and management research center)
21309,kenneth jameson,1,department of economics university of utah
21310,neng jiang,1,management school university of sheffield
21311,sven p. jost,0,institute for business theory
21312,jean-francois jamet,0,european central bank
21313,shenyi jiang,1,china economics and management academy central university of finance and economics (cufe)
21314,frank jotzo,1,centre for climate economics and policy (ccep) crawford school of public policy australian national university
21315,mario jametti,0,(50%) cesifo
21316,tao jiang,0,中国 计量 学院 (china jiliang university)
21317,marie-agnès jouanjean,0,(47%) world economy group (gem) science sciences
21318,faisal jamil,1,business school national university of sciences and technology (nust)
21319,wei jiang,1,graduate school of business columbia university
21320,sameh jouida,1,higher institute of management of sousse university of sousse
21321,muhammad jamil,1,department of economics quaid-i-azam university
21322,wei jiang,1,school of economics qingdao university
21323,mustapha jouili,1,faculty of economics and management university of carthage
21324,rustam jamilov,0,(80%) is the central bank of the republic of azerbaijan
21325,wei jiang,1,school of economics university of kent
21326,elyès jouini,1,center of research in mathematics of the decision (ceremade) university paris-dauphine (paris ix)
21327,dean jamison,1,department of global health and population harvard school of public health harvard university
21328,weicong jiang,1,college of economics zhejiang university
21329,fathi jouini,0, 
21330,mark allen jamison,1,public utility research center (purc) warrington college of business university of florida
21331,yi jiang,0,asian development bank
21332,jamel jouini,1,college of business administration king saud university
21333,rania jammazi,0,institute for the preparation of administration and management (ipag)
21334,zhan jiang,1,shanghai advanced institute of finance (saif) shanghai jiao tong university
21335,david joulfaian,0,department of the treasury government of the united states
21336,farshid jamshidian,1,faculty of management and management university twente
21337,zheng jiang,1,central university of finance and economics (cufe)
21338,isabelle joumard,0,economics department organization for economic cooperation and development (oecd)
21339,man-ser jan,1,institute of applied economics national taiwan ocean university
21340,zhao jianglin,0, 
21341,romain jourdheuil,1,research group in theoretical and applied economics (gretha) university of bordeaux
21342,sebak kumar jana,1,vidyasagar university
21343,zhang jiangxingyun,1,(50%) faculty of economics university of reindeer 1
21344,alain jousten,1,(80%) hec school of management university of cork
21345,kamil janáček,0,(90%) czech national bank
21346,lu jiangyong,1,guanghua school of management peking university
21347,fred joutz,1,(70%) research program on forecasting department of economics george washington university
21348,joanna janczura,0,hugo steinhaus center for stochastic methods politechnika wrocławska
21349,ionel jianu,0,the academy of economic studies in bucharest
21350,pierre-andré jouvet,1,economix university paris west-nanterre defense (paris x)
21351,karel janda,1,(50%) institute of economic studies charles university in prague
21352,ionut jianu,0,the faculty of theoretical economics and applied to the academy of economic studies in bucharest
21353,boyan jovanovic,1,"department of economics 
new york university (nyu)"
21354,gholamreza jandaghi,1,university of tehran qom campus
21355,iulia jianu,0,(50%) faculty of accounting and computer science management academy of economic studies in bucharest
21356,branimir jovanovic,1,"department of economics and statistics ""cognetti de martiis"" university of torino studies"
21357,eckhard janeba,1,"department of economics, university of mannheim"
21358,ionela jianu (dumitru),0,the academy of economic studies in bucharest
21359,dragan jovanovic,0, 
21360,agnieszka janek,0,hugo steinhaus center for stochastic methods politechnika wrocławska
21361,feng jiao,1,desautels faculty of management mcgill university
21362,majlinda joxhe,0,center for research in applied economics (crea) faculty of law
21363,dietmar janetzko,0, 
21364,peiran jiao,0,(50%) economics group
21365,mark joy,0,bank of england
21366,daisung jang,1,center for research in economics and strategy (cres) olin school of business washington university in st. louis
21367,ahmat jidoud,1,research group in mathematical and quantitative economics (gremaq) toulouse school of economics (tse)
21368,omar joya,1,(50%) research group in theoretical and applied economics (gretha) university of bordeaux
21369,insong jang,0,national assembly budget office government of south korea
21370,viroj jienwatcharamongkhol,0,(50%) center for innovation
21371,joseph p. joyce,1,department of economics wellesley college
21372,jürgen janger,0,austrian institute for economic research (wifo)
21373,teklu erkossa jijo,0,international water management institute (iwmi)
21374,michael joyce,0,bank of england
21375,ramesh jangili,0,reserve bank of india
21376,milan jilek,0,"faculty of economics, south bohemian university, czech budejovice"
21377,ted joyce,1,"zicklin school of business 
baruch college 
city university of new york (cuny)"
21378,radek janhuba,0,center for economic research and graduate education and economics institute (cerge-ei)
21379,ramona jimborean,0,bank of france
21380,roselyne joyeux,1,department of economics faculty of business and economics macquarie university
21381,vishalkumar jani,0,economics indian institute of management
21382,félix jiménez,1,department of economy pontificia catholic university of peru
21383,charlie joyez,1,dauphine economics laboratory (leda) paris-dauphine university (paris ix)
21384,alexandre janiak,1,center of applied economics university of chile
21385,gabriel jimenez,0,bank of spain
21386,james j. jozefowicz,1,department of economics indiana university of pennsylvania
21387,hubert piotr janicki,0,center for economic studies census bureau department of commerce government of the united states
21388,maribel jiménez,0,(50%) national council for scientific and technical research
21389,biung-ghi ju,1,division of economics seoul national university
21390,mark vincent janikas,0,environmental systems research institute (environmental systems research institute)
21391,mónica jiménez,1,(50%) institute of labor studies and economic development (ielde) faculty of economics national university of salta
21392,gaosheng ju,1,school of economics fudan university
21393,batlome janjgava,0,center for economic research and graduate education and economics institute (cerge-ei)
21394,natalia jiménez,1,(40%) department of theory and economic history faculty of economic and business sciences university of granada
21395,nengjiu ju,1,shanghai advanced institute of finance (saif) shanghai jiao tong university
21396,m. yasin y janjua,0,(50%) centre for research on economic and social transformation (crest)
21397,raul jimenez,1,"(50%) department of economics and finance faculty of economics university of roma ""ver vergata"""
21398,yuan ju,1,department of economics and related studies university of york
21399,pervez zamurrad janjua,1,international institute of islamic economics (iiie) international islamic university
21400,raul jimenez,1,statistical department university carlos iii of madrid
21401,laura juarez,0,economic studies center colegio de mexico
21402,stephan jank,1,frankfurt school of finance and management
21403,pablo jimenez ayora,1,faculty of economics university of cuenca
21404,miguel a. juárez,1,university of sheffield school of mathematics and statistics
21405,katharina marie janke,1,lancaster university
21406,mercedes jiménez garcía,1,department of general economy university of cádiz
21407,miriam juarez-torres,0,bank of mexico
21408,kheswar chandan jankee,0, 
21409,juan luis jiménez,0,department of economic analysis applied faculty of economy
21410,ruben juarez,1,department of economics university of hawaii-manoa
21411,zuzana janko,1,economics department college of business san francisco state university
21412,juan angel jimenez martin,1,(50%) department of fundamentals of economic analysis ii (quantitative economy) faculty of economic and business sciences university complutense de madrid
21413,gerardo daniel juarez martinez,1,open university
21414,john a. janmaat,1,department of economics university of british columbia okanagan
21415,sergi jimenez-martin,1,(34%) department of economics and business university pompeu fabra barcelona graduate school of economics (barcelona gse)
21416,joao plinio juchem neto,1,federal university of pampa - technological center of alegrete (federal university of pampa)
21417,ben jann,1,university of bern
21418,antonio jimenez-martinez,0,center for economic research and teaching (cide)
21419,kenneth l. judd,1,hoover institution on war revolution & peace stanford university
21420,ole jann,0,økonomisk institut københavns universitet
21421,jose alfredo jimenez moscoso,1,(90%) national university of colombia
21422,cristina jude,0,(50%) bank of france
21423,gregory mathieu jannin,1,interdisciplinary research center in management (prism) university paris 1 (panthéon-sorbonne)
21424,miguel alejandro jiménez polanco,0,central bank of the dominican republic
21425,eamonn judge,1,leeds business school leeds beckett university
21426,nils jannsen,0,institute for global economy (ifw)
21427,rebeca jiménez-rodríguez,1,department of economics and economic history faculty of economics and business university of salamanca
21428,george judge,1,department of agricultural and resource economics university of california-berkeley
21429,martin janotka,0,podnikovohospodárska fakulta ekonomická univerzita v bratislave
21430,dolores jiménez rubio,1,faculty of economic and business sciences university of granada
21431,guy judge,0, 
21432,jana janoušková,0,obchodne podnikatelská fakulta slezská universita
21433,renzo jiménez sotelo,1,academic department of economy university of the pacific
21434,dean judson,0,census bureau department of commerce government of the united states
21435,jitka janová,0,provozně ekonomická fakulta mendelova univerzita v brnĕ
21436,juan f jimeno,0,bank of spain
21437,dario judzik,0,(60%) ministry of trabajo
21438,ada jansen,1,department of economics fakulteit ekonomies en bestuurswetenskappe university of stellenbosch
21439,changha jin,1,college of economics and business administration hanyang university
21440,hendrik juerges,1,(60%) department of economics berlin university of wuppertal
21441,christian jansen,0,institute for public finance
21442,hao jin,1,department of economics indiana university
21443,falko juessen,1,faculty of economics and social sciences (faculty of economics and social sciences) university of dortmund (university of dortmund)
21444,david-jan jansen,0,de nederlandsche bank
21445,hyun j. jin,1,department of industrial economics chung-ang university
21446,andos juhasz,1,eberhard-karls-university university of tübingen
21447,dennis w. jansen,1,department of economics texas a&m university
21448,jianjian jin,0,bank of canada
21449,peter juhasz,1,(99%) investments and corporate finance department of business economics faculty of budapest corvinus university
21450,eilev s. jansen,0,statistisk sentralbyrå government of norway
21451,jim jin,1,school of economics and finance university of st. andrews
21452,chinhui juhn,1,department of economics university of houston
21453,hans gp jansen,0, 
21454,jing jin,1,china economics and management academy central university of finance and economics (cufe)
21455,dácil tania juif,0,leerstoelgroep agrarian economy en plattelandsbeleid wageningen universiteit en researchcentrum
21456,marcel jansen,0,institute of labor economics (iza)
21457,keyu jin,1,economics department london school of economics (lse)
21458,gael juillard,0,institute for the preparation of administration and management (ipag)
21459,mathijs j.m. jansen,1,school of business and economics maastricht university
21460,lawrence jin,1,school of management yale university
21461,michel juillard,0,bank of france
21462,remy marcel jansen,0,de nederlandsche bank
21463,sainan jin,1,school of economics singapore management university
21464,tom juille,0,law research group
21465,w. jos jansen,0,ministerie van financiën government of the netherlands
21466,songqing jin,0,department of agricultural
21467,sandrine juin,1,(50%) research team on the use of individual data related to economic theory (erudite) university paris-est
21468,ivo jánský,1,institute of economic studies charles university in prague
21469,tao jin,1,(90%) pbc school of finance tsinghua university
21470,dorin jula,0,(50%) institutul de economic forecast institutul national de cercete economice (ince) academia romana
21471,petr janský,1,(90%) institute of economic studies charles university in prague
21472,wei jin,1,school of economics and business school unsw (australia)
21473,nicolae marius jula,1,"faculty of economic sciences university ""nicolae titulescu"""
21474,catherine janssen,0,(50%) lille economy and management (lem)
21475,wenchao jin,1,(47%) department of economics university college london (ucl)
21476,nicoleta jula,0,institutul de economic forecast institutul national de cercetari economice (ince) academia romana
21477,maarten janssen,1,(90%) institute for economics faculty of economics university of wien
21478,xin jin,1,school of economics shanghai university of finance and economics
21479,benoit julien,1,school of economics and business school unsw (australia)
21480,simon janssen,1,swiss leading house for education economics institute for business economics economic science faculty university of zurich
21481,xin jin,1,department of economics university of south florida
21482,ludovic alexandre julien,1,(90%) economix university paris west-nanterre defense (paris x)
21483,wendy janssens,0,(34%) tinbergen institute
21484,xisong jin,0,central bank of luxembourg
21485,brandon julio,1,london business school (lbs)
21486,ronald janßen-timmen,0,rwi - leibniz institute for economic research
21487,yi jin,1,department of economics monash business school monash university
21488,juan manuel julio-román,0,(98%) bank of the republic of colombia
21489,michael jansson,1,(75%) department of economics university of california-berkeley
21490,yu jin,1,department of economics iowa state university
21491,paulo fernando rodrigues lérias júlio,0,bank of portugal
21492,per jansson,0,swedish national bank
21493,zhong jin,0,department of revenue and finance government of iowa
21494,christian julliard,1,(47%) financial markets group (fmg) london school of economics (lse)
21495,antje jantsch,0,institute for agricultural science and nutrition science martin-luther-university hall
21496,rohit jindal,1,(60%) department of resource economics and environmental sociology (rees) university of alberta
21497,bruno jullien,1,toulouse school of economics (tse)
21498,markus jantti,1,institute of social research (sofi) stockholm university
21499,paan jindapon,1,culverhouse college of commerce & business administration university of alabama-tuscaloosa
21500,dorian jullien,0,law research group
21501,pawel janus,0,department of econometrics (department of econometrics) faculty of economics and business administration (faculty of economic sciences
21502,bjoern jindra,0,(80%) faculty of economics universität bremen
21503,nicolas jullien,0,(50%) institut telecom
21504,thorsten janus,1,department of economics and finance college of business university of wyoming
21505,jan jindra,0,securities and exchange commission government of the united states
21506,adusei jumah,0, 
21507,florence jany-catrice,1,lille center for economic and sociological studies and research (clerse) faculty of economics and social sciences university of science and technology of lille (lille 1)
21508,irena jindrichovska,0,vysoká škola hotelová (the institute of hospitality management in prague)
21509,charles blessings laurence jumbe,0, 
21510,norbert janz,0,(80%) faculty of economics faculty of applied sciences aachen
21511,bing jing,1,cheung kong graduate school of business
21512,juju jumena,0,faculty of shariah and economics of islam institute of religion of islam country of syekh nurjati cirebon
21513,said jaouadi,0, 
21514,li jing,0,한국국립경상대학교 (department of accounting
21515,bogang jun,0,mit media lab (mit media lab)
21516,magali jaoul-grammare,0,theoretical and applied economics bureau (beta)
21517,brian a. jingwa,0,(39%) african governance and development institute (agdi)
21518,byoung heon jun,1,department of economics korea university
21519,tullio jappelli,0,economics and finance center (csef)
21520,yothin jinjarak,1,victoria business school victoria university of wellington
